registration_number,price,brand_encoded,model_encoded,fuel_type_encoded,transmission_encoded,owner_type_encoded,vehicle_age_scaled,mileage_scaled,engine_cc_scaled,mileage_per_year_scaled,brand,model,fuel_type,transmission,owner_type,vehicle_age,mileage,engine_cc,mileage_per_year
TN 12 GH 9279,2500.0,11,38,1,1,0,1.5885758159870147,2.009507219201739,0.24669594357375135,1.161723410969978,Volkswagen,Polo,Diesel,Manual,First,16,248627.0,1799.0,14625.117647058823
TN 98 ZF 7924,6100.0,0,3,2,1,1,0.30429009647611566,0.6136635755236425,-1.2788729831221701,0.9793021728824638,Audi,A4,Electric,Manual,Fourth & Above,10,155407.0,0.0,14127.90909090909
TS 78 IZ 1711,2500.0,4,50,4,1,1,0.732385336313082,0.171701325075212,-0.43171158358396805,-0.6511553497969976,Hyundai,Tucson,Petrol,Manual,Fourth & Above,12,125891.0,999.0,9683.923076923076
KA 06 VH 5741,3500.0,9,35,2,0,3,0.9464329562315652,1.7757984915625227,-1.2788729831221701,1.9025113642065414,Tesla,Model Y,Electric,Automatic,Third,13,233019.0,0.0,16644.214285714286
HR 90 VU 2169,2500.0,3,5,3,1,3,0.9464329562315652,0.6259868893913434,-0.00940289792828771,-0.10985839179633428,Honda,Accord,Hybrid,Manual,Third,13,156230.0,1497.0,11159.285714285714
TN 41 MI 2084,9000.0,0,4,0,1,3,0.09024247655763246,-0.37733749580812587,0.4154498159542341,-0.9305511502238232,Audi,A6,CNG,Manual,Third,9,89224.0,1998.0,8922.4
GJ 69 IX 8019,15000.0,1,2,2,1,3,-0.5519003831978171,-0.7587163587611522,-1.2788729831221701,-0.8625610462379152,BMW,7 Series,Electric,Manual,Third,6,63754.0,0.0,9107.714285714286
MH 81 FZ 7916,20900.0,0,40,0,0,0,-0.7659480031163003,-0.8754808806813602,0.4154498159542341,-0.7824740289002136,Audi,Q7,CNG,Automatic,First,5,55956.0,1998.0,9326.0
GJ 97 IY 6573,23000.0,0,3,0,0,0,-0.9799956230347835,-0.9309882008606641,0.4154498159542341,-0.3701621633316501,Audi,A4,CNG,Automatic,First,4,52249.0,1998.0,10449.8
WB 65 TG 3504,10700.0,3,12,3,1,0,-1.1940432429532666,-1.2677755344114874,0.4162978253631812,-1.474705219825189,Honda,CR-V,Hybrid,Manual,First,3,29757.0,1999.0,7439.25
UP 11 CX 8962,2500.0,4,45,4,0,3,1.5885758159870147,1.6824527580859163,-0.26380572061243246,0.6903334960935313,Hyundai,Sonata,Petrol,Automatic,Third,16,226785.0,1197.0,13340.29411764706
