registration_number,brand,model,year,mileage,fuel_type,transmission,engine_cc,owner_type,price
TN 12 GH 9279,Volkswagen,Polo,2010,248627.0,Diesel,Manual,1799.0,First,2500.0
TN 98 ZF 7924,Audi,A4,2016,155407.0,Electric,Manual,0.0,Fourth & Above,6100.0
TS 78 IZ 1711,Hyundai,Tucson,2014,125891.0,Petrol,Manual,999.0,Fourth & Above,2500.0
KA 06 VH 5741,Tesla,Model Y,2013,233019.0,Electric,Automatic,0.0,Third,3500.0
HR 90 VU 2169,Honda,Accord,2013,156230.0,Hybrid,Manual,1497.0,Third,2500.0
TN 41 MI 2084,Audi,A6,2017,89224.0,CNG,Manual,1998.0,Third,9000.0
GJ 69 IX 8019,BMW,7 Series,2020,63754.0,Electric,Manual,0.0,Third,15000.0
MH 81 FZ 7916,Audi,Q7,2021,55956.0,CNG,Automatic,1998.0,First,20900.0
GJ 97 IY 6573,Audi,A4,2022,52249.0,CNG,Automatic,1998.0,First,23000.0
WB 65 TG 3504,Honda,CR-V,2023,29757.0,Hybrid,Manual,1999.0,First,10700.0
UP 11 CX 8962,Hyundai,Sonata,2010,226785.0,Petrol,Automatic,1197.0,Third,2500.0
AP 28 RY 4295,Honda,Amaze,2014,114308.0,CNG,Manual,1799.0,Third,2700.0
KA 44 AS 4770,Tesla,Model Y,2022,75405.0,Electric,Automatic,0.0,First,18700.0
DL 36 VP 4510,Audi,A6,2010,142883.0,Diesel,Manual,2993.0,First,2600.0
AP 46 NN 8651,Maruti,Baleno,2025,13321.0,Electric,Manual,0.0,First,10300.0
KL 18 NF 5563,Tesla,Model 3,2013,115792.0,Electric,Manual,0.0,Second,4800.0
DL 22 NP 8886,Mahindra,XUV700,2012,178483.0,CNG,Manual,2198.0,First,2500.0
GJ 85 WP 3536,BMW,X5,2011,145704.0,Electric,Automatic,0.0,Fourth & Above,3300.0
KL 65 QF 1931,BMW,X3,2016,180187.0,CNG,Manual,1998.0,Third,4400.0
UP 06 TC 7868,Maruti,Swift,2015,96809.0,Diesel,Automatic,1799.0,First,2500.0
HR 59 KY 2188,Volkswagen,Tiguan,2018,84205.0,Diesel,Automatic,1197.0,Fourth & Above,5700.0
TS 37 FO 9900,Toyota,Highlander,2013,115376.0,Hybrid,Manual,2198.0,Third,3400.0
KA 96 RE 5462,Tesla,Model Y,2010,238076.0,Electric,Manual,0.0,Third,2500.0
AP 36 BA 6464,Mercedes,S-Class,2016,153575.0,Hybrid,Automatic,1998.0,Third,5700.0
MH 70 BL 3426,Ford,F-150,2015,172742.0,Electric,Manual,0.0,First,2500.0
KA 46 YR 7658,Tata,Harrier,2011,170834.0,Petrol,Automatic,1999.0,Second,2500.0
TS 53 ZV 5065,Audi,A6,2017,154719.0,Diesel,Automatic,2497.0,First,7200.0
KL 45 JZ 4728,Mercedes,E-Class,2013,154885.0,Electric,Manual,0.0,Second,4800.0
GJ 43 AD 5279,BMW,3 Series,2016,121961.0,Petrol,Automatic,3982.0,Third,8000.0
UP 25 IB 8144,Ford,Endeavour,2018,70446.0,Hybrid,Automatic,2198.0,Fourth & Above,7400.0
WB 53 KM 5844,Toyota,Fortuner,2016,117702.0,Hybrid,Automatic,3198.0,First,4400.0
HR 37 GN 6279,Maruti,Baleno,2016,126806.0,Diesel,Automatic,1799.0,Fourth & Above,2500.0
UP 43 CY 4848,Mahindra,Bolero,2024,32557.0,Diesel,Manual,1799.0,Third,15900.0
KA 59 NU 4185,Volkswagen,Tiguan,2017,146180.0,Petrol,Manual,1799.0,Fourth & Above,3800.0
GJ 60 BR 5082,Tesla,Model S,2022,53751.0,Electric,Manual,0.0,Fourth & Above,20300.0
GJ 55 RO 3607,Honda,City,2014,195840.0,CNG,Automatic,1799.0,Fourth & Above,2500.0
KA 92 JH 5451,Tesla,Model Y,2024,23172.0,Electric,Automatic,0.0,Second,30000.0
GJ 60 NB 4388,Hyundai,Tucson,2012,133297.0,Diesel,Manual,1598.0,First,2500.0
HR 97 MN 9818,Tata,Altroz,2010,269139.0,Electric,Automatic,0.0,First,2500.0
WB 52 XF 8657,Tesla,Model S,2017,118032.0,Electric,Manual,0.0,Fourth & Above,8200.0
MH 07 IM 6363,Ford,Endeavour,2010,276476.0,Petrol,Manual,2755.0,Fourth & Above,2500.0
GJ 07 LH 2124,BMW,X5,2020,72768.0,Hybrid,Automatic,1998.0,Third,16000.0
KA 73 GO 5198,Volkswagen,Polo,2010,281735.0,Petrol,Manual,1197.0,Second,2500.0
AP 51 WG 2245,Hyundai,Sonata,2013,206768.0,Hybrid,Manual,1497.0,First,2500.0
WB 48 CQ 6590,Audi,A6,2013,196841.0,CNG,Manual,2993.0,First,3400.0
